country,cluster_id,pca1,pca2,pca3,pca4,pca5,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index
United States,4,3.916908864881088,0.9249969030623527,-5.7741966148085995,3.3396500394620214,6.057431211180817,0.3285014887165893,-1.0844289134898375,0.20933465674703952,0.03830585969302594,5.2762223914624435
European Union,4,5.8343277846621415,1.12018902985902,-1.4395266053576339,0.9947363911277762,2.390382482843965,1.4394186753696454,-1.389603508059397,0.8282795583566611,0.09229724019162289,2.2164087169355975
United Kingdom,3,0.29082914161091566,0.20055943381757987,-1.0390666451075243,1.6677471480769521,1.7748742692762896,-0.05075530069758866,0.25861639488381266,-0.03312546399902927,-0.3685570535955298,1.3236534793222812
Australia,3,0.7842968648447195,-0.23866748986949993,0.014205997759435473,-0.03479678472428446,1.8402412450277372,0.34013510955960036,0.06275778273172866,-0.20745046613329696,0.17594403261490185,0.7890362090529358
Germany,3,1.0475824976277515,1.2404962264192299,-0.30671184916745925,-0.16878855843325724,0.572278801808672,0.05784435111161375,-0.7022921000267612,0.515294674022552,0.030115768440044266,0.15295758515126537
Türkiye,3,-1.398237237097146,-1.7991454846525747,-1.3066987997849704,2.4360685590724676,0.6669863696118568,-0.752646805620127,1.6776411872534112,0.01441210687049016,0.8567656092049574,1.2757745069295992
Malta,3,0.822483054040004,0.41630917500550985,-0.28170278326171716,1.0578063076242075,1.0641154155567283,-0.06295256919620099,0.06725272503792683,0.8233603215785796,0.15392881503564515,0.6526527697599688
Spain,3,0.49644716416744555,-1.1227212938949274,-0.9597270859914303,0.3335159967106008,0.22718011232227675,0.06934148077721966,0.2044600810504191,0.1238358202767704,-0.010895511294649385,0.5625217533813132
Belgium,3,-0.4441682399309264,-1.6411546322675954,-0.12797706302577525,0.8775808985376319,0.5190201497919141,-0.12074708013495575,1.0821788856038452,-0.007370595179922973,0.23266790613565114,0.5269909811371475
India,3,1.6243839418738835,0.18013535574745546,-1.1074288586988401,1.0367230131190488,-0.9285134526642265,0.3175095433896735,-1.1152278117898173,0.5611530960355895,-0.020465150687079214,0.3970941228461277
Japan,3,1.8723349068961943,0.20146661535922925,-0.03248684926908887,-0.6894458106596911,0.6417561141608827,0.6595061756269099,-0.7197202920821119,0.1619866391442952,0.1898692942563739,0.27531581819829665
Mexico,3,0.7098927394447059,1.1645707050339416,-0.45464990007233896,0.16974705062243423,0.3369955771319485,-0.11674252045445832,-0.41908397912732026,0.7907771470285194,-0.18928773676097416,0.12918185262089943
Singapore,3,-1.4615783046608848,-0.24066051131199195,0.13446808368208785,1.0561692940958958,-0.01603197749885532,-0.40671664553529113,0.6514427178725668,-0.259676387641504,0.19663061870857002,-0.03318922024287526
Austria,3,0.036106390396854975,-0.8534823209010055,-1.0760257881243602,0.7232301759822446,-1.1895062144214497,-0.1260349266452149,-0.18991924276648828,0.12017492175509845,0.7656114637418716,0.07875382023278496
France,0,2.107604642625588,0.24765235434061375,0.8532115436646325,0.6728368411021498,-0.758631992026644,1.0571520492883169,-0.5626127549617944,0.13300763373159388,-0.3227523982285251,0.05283976259422485
Colombia,3,0.704975455212515,-0.3050919483705788,0.8934626231122884,0.736462207813946,-0.4050338796985221,0.43326806870326945,0.24754436698982552,0.30846450686559773,-0.18860477144658236,-0.05513547756644235
Saudi Arabia,3,1.1585681352308475,0.8575989556285136,0.011481507224713992,-0.7745395534718892,0.341560721160788,0.3801551430625647,-0.5659681909836406,0.40175035535479775,-0.0633210338940941,-0.13719666008854944
Serbia,3,-0.20587509354140898,-2.024294143558245,-0.3913202768936888,0.5257982458482379,-0.7887279326003073,-0.052118624551392045,0.9014165363917604,0.28463729236119584,0.4463087124944806,-0.04175790506230912
Israel,3,-0.566127112670527,-0.6402783645852401,-1.3732202995538556,-0.22714324584768184,-0.6052463947446114,-0.4798578962700491,0.12411848226996837,0.2562280628837862,-0.12940644403582063,-0.14363306192326958
Norway,3,0.7091888072327885,0.6581935572829498,-0.8234280441939431,-0.3245736078605785,-0.08856757320868484,-0.06407742393740898,-0.7489381434690224,0.27859847825030154,-0.012588389677365308,0.22138978111089522
Canada,3,-0.7837516520719495,0.22612170717890656,-0.8776448508977402,-0.2573717450636651,-0.4893820724161595,-0.4305798997422931,-0.07243723914640432,-0.05842916184977316,-0.349840419369702,-0.2096104303633457
China,1,-0.05803283118935459,2.487392417372017,-1.2336974972033166,-3.096181411523826,0.8631764721442753,-0.07823319929474848,-0.6935780039990862,-0.5165341239086412,-0.09168126718494835,-0.3950407539045888
Portugal,3,-0.7033697353753875,-1.1328890236826674,0.506459370237175,0.26854028323425677,0.383291220539598,-0.0415008600685019,0.924867285504573,-0.18483690265957592,0.4746484043837838,0.008437358213158918
Ireland,3,-1.6496375911105952,-1.2485981564520376,-0.4200570042263217,0.7364277310746943,-0.348683125162481,-0.6859880778240612,1.1222345706148142,-0.0001761128678018642,0.08951424851235085,-0.009862745036957476
Denmark,3,-0.5093326800342658,-1.159555639902219,0.14868591590911331,0.7432595956376883,-0.6071557582687754,-0.014931854513533328,0.5612518239861297,-0.1228172263677235,0.4428777912354565,-0.05256298595389571
Peru,3,-0.7711098198170265,0.025801788258062563,-0.443685709393077,-0.542967064711676,0.47680131784458524,-0.40021334099992234,0.11717243680954324,0.044181930153235224,-0.47546527391892335,-0.05866302037060115
Netherlands,3,-0.8227081847994315,-1.2198188078597807,-0.5325659127534911,2.0548371008382293,-1.8286517325588527,-0.7128854592154561,0.8553525649201645,1.0790606161584553,0.33190734519892096,-0.2355640184550596
Czech Republic,3,-0.6626657388413283,-1.393564770114393,-0.5143710156038335,0.10794576143100346,0.06657037989158211,-0.15832200221422224,0.6142429484787486,-0.4507781735649714,0.03014993285912186,0.4611654119487642
Finland,3,0.5080719279251568,0.2559880806672305,-0.14974231440736716,0.08876592301825495,-0.17315734612298875,0.048109975832705536,-0.20771401572432283,0.41951679941859277,0.24463941226580457,0.004687139935270627
Estonia,3,-1.2534761542349355,-0.9811193214543106,-0.860922719358255,-1.0596887170419702,-0.13314172086770718,-0.5737207467991081,0.49851033258686867,-0.2497151544525954,-0.2965694832045943,-0.32038072043797466
Thailand,3,1.495964486140851,0.12184537830538295,-0.8425794506787431,-0.9969297083586991,-0.8023717870386617,0.5146766575419411,-1.1887436959246251,-0.42572337224814594,0.1341678203300154,0.22549510196571496
Argentina,0,2.008191472303326,-1.6614862020620562,2.4313793412754845,0.51601176414427,-0.13752526370694196,1.6113401846915822,0.35899306881745985,-0.07911908327963318,0.05337151620991254,0.015956897557400002
Romania,3,0.139196715667802,-4.513090933440827,1.3877942430675885,-1.6706033848338024,1.016789991196637,0.8555102865714894,1.6972530697757757,-0.7075343985859659,0.5774236394342827,-0.06463471952272114
Latvia,3,-1.004668335058004,-1.3880264962241342,-0.5715352557317008,0.6368317059813446,-0.6019836406384433,-0.362674795601856,0.5612518239861297,0.04371812146534218,1.5289418743886374,-0.17746298343489073
Italy,3,-1.4734534095825174,-1.0193707443096167,-0.5565908614202584,0.3053411997422416,-0.7515553530206807,-0.5270443836284076,0.6226293699201891,-0.18337464187937597,-0.17125732240651917,-0.22581795368296342
New Zealand,1,-0.8966844341289824,2.165758058243179,0.6904342849519974,-0.5047467536695204,0.962575767770504,-0.7168615938559231,-0.48025693324159957,0.33393479902966705,0.1473549848379706,-0.39506034955121777
Bulgaria,0,1.2759606199817695,-1.1356387281758056,2.3864205143485644,0.8449980864085346,-0.19815081877523374,1.1879566889329793,0.12776515613669118,-0.07432819433099674,0.15494207059569767,-0.09308935831402117
Kenya,3,0.3082099600711896,-0.611229780592088,0.17047576639488662,-0.44682966609849695,-0.7354084810981516,0.3208723163151443,-0.29770907017041714,-0.49253113487125433,0.28428455676720055,-0.22014353345679183
Korea (Republic of),3,-1.0215254914077196,-0.8177673939601623,-1.2470066743422854,-1.1480988517157698,-0.5456529059900067,-0.703848789578031,-0.2182636752168077,-0.2753687252741969,0.6041263742295321,-0.30810411624794076
Chile,3,-1.444038082976943,-0.9639159901273074,-1.0111038153972727,-2.370517285300323,0.2942522657304152,-0.4146753611804248,0.015168472918489027,-1.1035426379158106,0.29508318945060735,-0.3667445047753733
OECD,2,-2.3242346243085215,0.5056902744915072,0.9232970864132272,0.42663215434702584,0.7628422254098153,-0.7580688074025821,0.8321809913920283,-0.21731214220940964,-0.982634570179467,-0.41561149521490054
Russia,0,3.757729858428016,-0.04328524632014306,1.872228637981209,-1.4915174426957423,0.11680792043839383,1.6493896780964243,-0.36244235494743204,0.8196243433233358,0.5415845848845892,-0.4547050875665222
Sweden,1,-0.32405644654881743,1.5320140715456223,-0.9470355412180586,0.004150642139848281,-1.7906418542324345,-0.5140787271921019,-1.2687083418256435,0.17184291759117237,0.47974344521640305,-0.5133454760939549
Ukraine,3,0.8949481648223598,1.0903709316523833,-0.0826889617337842,1.267579190751701,-0.9383878168193521,0.16707700520101335,-1.2798509564184088,0.35040387868018075,0.13898594637138761,0.10574486793859937
Costa Rica,3,0.7379069515659451,-2.3851999240973063,0.7348326197164262,0.2862989406538764,-1.110903605541944,0.5285725626858834,0.21063760734320167,0.027440775119512373,0.26466855908918124,-0.23527751753004655
World Economic Forum,1,0.11475632211734595,2.5395370510349493,-0.13807717384383145,-0.16498127562538603,-0.2554222200623032,-0.1899373162844592,-0.5299045481749279,0.7068990617014144,-0.12285990875315556,-0.3742125634617172
Global Partnership on Artificial Intelligence,2,-3.2436540380191867,-1.9126286175539757,0.48367013741415743,0.20622823746006858,-0.1008813053952122,-0.8122888252271332,1.7219694148724543,-0.845171971039518,-1.0956335256812109,-0.5384085268355099
Slovenia,2,-3.028369281941062,0.5819988679145157,1.99187360102133,-1.3975508484240793,1.8532987732576247,,1.6200144913486554,-1.0118324587815146,0.1473549848379706,-0.5636694442776318
Tunisia,3,1.1637115286740216,0.9198994766227334,-2.745198001621691,-0.9613895382268028,-2.92975813032355,0.039740026301527565,-1.9484078319843021,0.37468738937790014,-0.2965694832045943,-0.5762999029986927
Switzerland,0,2.4625944801165907,-0.6944831618705979,2.4650409824326855,0.17301188974570628,0.5025605431591951,1.7813671221947942,-0.37987054700278244,-0.22171638018644718,0.43722913579799944,0.2551181843999269
Egypt,3,-1.8378147703804963,-0.8244094592187263,-0.6905220048225256,0.7293607425855143,-1.0893282292811248,-0.6677021110283301,0.2760632267167622,-0.5403484224689162,0.2541659240189691,-0.09342883536014175
Mauritius,0,6.343214602743357,-1.6871580855329977,-1.1558433867624747,-0.5586055373578807,-2.97310228022748,1.134815481500552,-1.676528035920839,1.9406218792909202,0.7240128807705117,-0.14846257532225784
Vietnam,3,-0.8652657707595733,0.8439766711409593,0.29801541867001563,-0.09390367909253396,-0.5622377665233308,-0.16337333772018592,-0.48025693324159957,-0.6063913144256913,-0.4741392704216199,-0.24018547525911804
Kazakhstan,0,2.8902901484998837,-2.4224996948493924,1.9542761480336555,-1.0833943083509494,-0.2965673214609918,1.8064894291783322,0.19801161062198805,0.2592111888097619,-0.17974725477234021,-0.35025295518335026
Iceland,0,6.993188578396516,-0.9593588141741555,5.554215129098428,-1.0601020632933478,0.5518466884301808,3.340301674431018,-1.0421418451060906,-0.06737027930869828,-0.025282308289693523,-0.36859753517072225
Hungary,2,-1.8025902200767634,0.043542466704550926,0.611455148479693,-0.46170724479842673,0.7993418891939316,-0.5737207467991081,1.3141497207772592,0.07532382166831589,-0.4741392704216199,-0.4236312751328384
Uruguay,3,-2.353157320998901,-2.8666841896987343,-0.6572881659455887,-1.708005152757829,0.908565953229272,-0.7327661324177914,1.3141497207772592,-0.7596605739176018,1.1522520414994057,-0.4236312751328384
G7,1,-0.9347153035228707,1.0763240613887932,-0.9832753605679164,-0.9304633323779381,-1.0049964963106035,-0.7270859400742671,-1.6571080504877342,-0.4653226509860411,-0.23362732261579156,-0.4419758551202104
Uzbekistan,3,-1.9054415939159266,-2.955528796416791,-1.3362760844512709,-6.275679496267709,2.6881322643667183,-0.8122888252271332,0.09069063849167365,-1.5566961231366454,0.1473549848379706,-0.6254216549939308
Indonesia,3,0.3594547029044488,-0.6593080533321068,-0.7146841626559801,0.21365820159460752,0.9597358021404363,-0.24032997497214154,-0.48756116656867776,-0.49595377127731527,-0.16415410002534986,1.6447383978417325
Slovakia,3,-1.3597230342511017,-1.5613963497957526,-0.2306845817453287,1.4553579590994836,0.016659574615402246,-0.7421217433365375,1.5300542647100093,0.5265215073814473,0.29058591933163014,0.47366925289365963
Cyprus,1,-1.1478170373990813,1.7463540781449371,0.12350081419869426,-0.08793177996002664,-0.2555493960644474,-0.3912863338835596,-0.5090442057659664,-0.49359165993357307,-0.4010222992146095,-0.12960879147352933
Croatia,2,-2.2214499953550964,0.20584176878999738,0.6221537282707124,1.4905871427496917,-0.5230914834582847,-0.641883054921401,0.38199041998824146,-0.23485090914188936,-1.4063806533110061,-0.23606962283244504
Poland,3,0.3968328210553836,-0.5852941686595117,1.944774211358306,2.67494331530865,-0.9966371818955116,0.3328637366841848,0.9063300266820637,1.377563169897055,0.54622113729209,-0.378017397977666
Lithuania,3,-0.5973711719688228,-1.115657148477489,-2.0781432901752104,0.8655219246088186,-3.4359659883616502,-0.06676358013955502,-0.9288585967463142,-0.4174885365187817,0.2575037658683753,-0.44899128555027645
Morocco,1,-0.7059066060286335,1.4535449362856256,-0.7120612964132841,-0.9051977132133839,-1.257037689481532,-0.2158686291570706,0.09069063849167365,-0.01403000164415627,-0.8884687739280139,-0.5199651731228869
United Arab Emirates,3,-2.236661036362619,-1.7554176884927628,0.06610526663413001,-1.2258875608591024,0.6672126054665751,-0.8122888252271332,1.450089618808991,-0.19674676364257326,-0.8884687739280139,-0.5199651731228869
United Nations,1,-0.7389921772973741,1.5371965146471673,0.5541033488279823,-0.7605958754897196,0.6266115924421715,-0.613482093203779,-0.589008851666985,0.39741855696576617,0.1473549848379706,-0.5199651731228869
Council of Europe,1,1.2451495901541356,7.592934794685078,-0.6863480420164324,-2.1569500448785197,-1.0920482755002454,0.3805515669129919,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.661912948268108
Greece,2,-1.262877994934184,3.997177204363418,1.8260494424503075,0.24027899001798178,1.167341861879242,-0.2158686291570706,0.09069063849167365,0.008665927360634429,0.1473549848379706,-0.661912948268108
Luxembourg,2,-3.4518640350705936,0.33810620496865446,2.3456937013629893,1.1765854462683965,0.895647610039249,,2.1297891089676493,-0.6085069105542492,0.1473549848379706,-0.661912948268108
Nigeria,1,-0.7220448193834693,3.975460867145034,-0.6504304702817665,0.040280661641959904,-1.9216111919520538,-0.2158686291570706,-1.9484078319843021,-0.6085069105542492,-1.4063806533110061,-0.661912948268108
Malaysia,2,-4.1334913248236695,2.118103412889818,3.4468296087691535,2.809073297835644,1.7068019863566364,,2.1297891089676493,0.008665927360634429,-2.9601162914599826,-0.697399892054413
Rwanda,1,-0.8833645904394314,5.946728180262589,2.1176328462189553,-0.3534950145306023,-0.05243951999587563,-0.8122888252271332,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.697399892054413
