country,boundary,position,choice,information,scope,aggregation,payoff,unclassified,n_edu_rule_statements,boundary_primary_share_within_edu_rules,position_primary_share_within_edu_rules,choice_primary_share_within_edu_rules,information_primary_share_within_edu_rules,scope_primary_share_within_edu_rules,aggregation_primary_share_within_edu_rules,payoff_primary_share_within_edu_rules,unclassified_primary_share_within_edu_rules
European Union,17,12,11,32,4,10,62,0,148,0.11486486486486487,0.08108108108108109,0.07432432432432433,0.21621621621621623,0.02702702702702703,0.06756756756756757,0.4189189189189189,0.0
United States,11,10,7,34,4,14,50,0,130,0.08461538461538462,0.07692307692307693,0.05384615384615385,0.26153846153846155,0.03076923076923077,0.1076923076923077,0.38461538461538464,0.0
United Kingdom,0,4,6,10,4,1,4,0,29,0.0,0.13793103448275862,0.20689655172413793,0.3448275862068966,0.13793103448275862,0.034482758620689655,0.13793103448275862,0.0
Australia,2,3,4,6,0,4,6,0,25,0.08,0.12,0.16,0.24,0.0,0.16,0.24,0.0
Mexico,3,1,3,3,1,0,7,0,18,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.05555555555555555,0.0,0.3888888888888889,0.0
Malta,11,0,0,0,0,2,3,0,16,0.6875,0.0,0.0,0.0,0.0,0.125,0.1875,0.0
Belgium,2,0,4,5,1,0,3,0,15,0.13333333333333333,0.0,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.0,0.2,0.0
Japan,0,0,1,3,2,0,7,0,13,0.0,0.0,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.0,0.5384615384615384,0.0
India,0,4,0,5,0,0,3,0,12,0.0,0.3333333333333333,0.0,0.4166666666666667,0.0,0.0,0.25,0.0
Norway,2,0,2,4,0,0,4,0,12,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
Saudi Arabia,0,0,2,2,1,0,7,0,12,0.0,0.0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.5833333333333334,0.0
Argentina,5,0,0,1,0,0,5,0,11,0.45454545454545453,0.0,0.0,0.09090909090909091,0.0,0.0,0.45454545454545453,0.0
Spain,1,0,1,4,0,1,3,0,10,0.1,0.0,0.1,0.4,0.0,0.1,0.3,0.0
Costa Rica,2,2,1,2,0,0,0,0,7,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0
Czech Republic,1,1,0,2,0,0,3,0,7,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.42857142857142855,0.0
Portugal,0,0,3,4,0,0,0,0,7,0.0,0.0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0
Finland,0,0,0,3,0,1,2,0,6,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.3333333333333333,0.0
Mauritius,0,0,1,0,0,0,5,0,6,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.0
Colombia,0,0,2,1,0,0,2,0,5,0.0,0.0,0.4,0.2,0.0,0.0,0.4,0.0
France,0,1,0,1,0,0,3,0,5,0.0,0.2,0.0,0.2,0.0,0.0,0.6,0.0
Thailand,0,0,0,1,1,0,3,0,5,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0
Tunisia,0,0,0,0,0,0,5,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Singapore,0,0,0,0,0,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Austria,2,0,0,1,0,0,0,0,3,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Germany,1,0,1,0,0,0,1,0,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0
Iceland,0,0,1,1,0,1,0,0,3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
Peru,0,0,2,1,0,0,0,0,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
Romania,1,0,0,1,1,0,0,0,3,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
Serbia,0,2,0,1,0,0,0,0,3,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
Switzerland,1,0,1,1,0,0,0,0,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
Ukraine,0,0,0,2,0,0,1,0,3,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0
Bulgaria,0,1,1,0,0,0,0,0,2,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
Italy,0,0,0,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
OECD,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
World Economic Forum,1,0,0,1,0,0,0,0,2,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
China,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Croatia,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Denmark,0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G7,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Indonesia,0,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Korea (Republic of),0,0,1,0,0,0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Netherlands,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
New Zealand,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
