country,regulatory_intensity_index,strategic_orientation_index,institutional_complexity_index,education_actor_centrality_index,governance_density_index,cluster_id
United States,0.3285014887165893,-1.0844289134898375,0.20933465674703952,0.03830585969302594,5.2762223914624435,4
European Union,1.4394186753696454,-1.389603508059397,0.8282795583566611,0.09229724019162289,2.2164087169355975,4
United Kingdom,-0.05075530069758866,0.25861639488381266,-0.03312546399902927,-0.3685570535955298,1.3236534793222812,3
Australia,0.34013510955960036,0.06275778273172866,-0.20745046613329696,0.17594403261490185,0.7890362090529358,3
Germany,0.05784435111161375,-0.7022921000267612,0.515294674022552,0.030115768440044266,0.15295758515126537,3
Türkiye,-0.752646805620127,1.6776411872534112,0.01441210687049016,0.8567656092049574,1.2757745069295992,3
Malta,-0.06295256919620099,0.06725272503792683,0.8233603215785796,0.15392881503564515,0.6526527697599688,3
Spain,0.06934148077721966,0.2044600810504191,0.1238358202767704,-0.010895511294649385,0.5625217533813132,3
Belgium,-0.12074708013495575,1.0821788856038452,-0.007370595179922973,0.23266790613565114,0.5269909811371475,3
India,0.3175095433896735,-1.1152278117898173,0.5611530960355895,-0.020465150687079214,0.3970941228461277,3
Japan,0.6595061756269099,-0.7197202920821119,0.1619866391442952,0.1898692942563739,0.27531581819829665,3
Mexico,-0.11674252045445832,-0.41908397912732026,0.7907771470285194,-0.18928773676097416,0.12918185262089943,3
Singapore,-0.40671664553529113,0.6514427178725668,-0.259676387641504,0.19663061870857002,-0.03318922024287526,3
Austria,-0.1260349266452149,-0.18991924276648828,0.12017492175509845,0.7656114637418716,0.07875382023278496,3
France,1.0571520492883169,-0.5626127549617944,0.13300763373159388,-0.3227523982285251,0.05283976259422485,0
Colombia,0.43326806870326945,0.24754436698982552,0.30846450686559773,-0.18860477144658236,-0.05513547756644235,3
Saudi Arabia,0.3801551430625647,-0.5659681909836406,0.40175035535479775,-0.0633210338940941,-0.13719666008854944,3
Serbia,-0.052118624551392045,0.9014165363917604,0.28463729236119584,0.4463087124944806,-0.04175790506230912,3
Israel,-0.4798578962700491,0.12411848226996837,0.2562280628837862,-0.12940644403582063,-0.14363306192326958,3
Norway,-0.06407742393740898,-0.7489381434690224,0.27859847825030154,-0.012588389677365308,0.22138978111089522,3
Canada,-0.4305798997422931,-0.07243723914640432,-0.05842916184977316,-0.349840419369702,-0.2096104303633457,3
China,-0.07823319929474848,-0.6935780039990862,-0.5165341239086412,-0.09168126718494835,-0.3950407539045888,1
Portugal,-0.0415008600685019,0.924867285504573,-0.18483690265957592,0.4746484043837838,0.008437358213158918,3
Ireland,-0.6859880778240612,1.1222345706148142,-0.0001761128678018642,0.08951424851235085,-0.009862745036957476,3
Denmark,-0.014931854513533328,0.5612518239861297,-0.1228172263677235,0.4428777912354565,-0.05256298595389571,3
Peru,-0.40021334099992234,0.11717243680954324,0.044181930153235224,-0.47546527391892335,-0.05866302037060115,3
Netherlands,-0.7128854592154561,0.8553525649201645,1.0790606161584553,0.33190734519892096,-0.2355640184550596,3
Czech Republic,-0.15832200221422224,0.6142429484787486,-0.4507781735649714,0.03014993285912186,0.4611654119487642,3
Finland,0.048109975832705536,-0.20771401572432283,0.41951679941859277,0.24463941226580457,0.004687139935270627,3
Estonia,-0.5737207467991081,0.49851033258686867,-0.2497151544525954,-0.2965694832045943,-0.32038072043797466,3
Thailand,0.5146766575419411,-1.1887436959246251,-0.42572337224814594,0.1341678203300154,0.22549510196571496,3
Argentina,1.6113401846915822,0.35899306881745985,-0.07911908327963318,0.05337151620991254,0.015956897557400002,0
Romania,0.8555102865714894,1.6972530697757757,-0.7075343985859659,0.5774236394342827,-0.06463471952272114,3
Latvia,-0.362674795601856,0.5612518239861297,0.04371812146534218,1.5289418743886374,-0.17746298343489073,3
Italy,-0.5270443836284076,0.6226293699201891,-0.18337464187937597,-0.17125732240651917,-0.22581795368296342,3
New Zealand,-0.7168615938559231,-0.48025693324159957,0.33393479902966705,0.1473549848379706,-0.39506034955121777,1
Bulgaria,1.1879566889329793,0.12776515613669118,-0.07432819433099674,0.15494207059569767,-0.09308935831402117,0
Kenya,0.3208723163151443,-0.29770907017041714,-0.49253113487125433,0.28428455676720055,-0.22014353345679183,3
Korea (Republic of),-0.703848789578031,-0.2182636752168077,-0.2753687252741969,0.6041263742295321,-0.30810411624794076,3
Chile,-0.4146753611804248,0.015168472918489027,-1.1035426379158106,0.29508318945060735,-0.3667445047753733,3
OECD,-0.7580688074025821,0.8321809913920283,-0.21731214220940964,-0.982634570179467,-0.41561149521490054,2
Russia,1.6493896780964243,-0.36244235494743204,0.8196243433233358,0.5415845848845892,-0.4547050875665222,0
Sweden,-0.5140787271921019,-1.2687083418256435,0.17184291759117237,0.47974344521640305,-0.5133454760939549,1
Ukraine,0.16707700520101335,-1.2798509564184088,0.35040387868018075,0.13898594637138761,0.10574486793859937,3
Costa Rica,0.5285725626858834,0.21063760734320167,0.027440775119512373,0.26466855908918124,-0.23527751753004655,3
World Economic Forum,-0.1899373162844592,-0.5299045481749279,0.7068990617014144,-0.12285990875315556,-0.3742125634617172,1
Global Partnership on Artificial Intelligence,-0.8122888252271332,1.7219694148724543,-0.845171971039518,-1.0956335256812109,-0.5384085268355099,2
Slovenia,,1.6200144913486554,-1.0118324587815146,0.1473549848379706,-0.5636694442776318,2
Tunisia,0.039740026301527565,-1.9484078319843021,0.37468738937790014,-0.2965694832045943,-0.5762999029986927,3
Switzerland,1.7813671221947942,-0.37987054700278244,-0.22171638018644718,0.43722913579799944,0.2551181843999269,0
Egypt,-0.6677021110283301,0.2760632267167622,-0.5403484224689162,0.2541659240189691,-0.09342883536014175,3
Mauritius,1.134815481500552,-1.676528035920839,1.9406218792909202,0.7240128807705117,-0.14846257532225784,0
Vietnam,-0.16337333772018592,-0.48025693324159957,-0.6063913144256913,-0.4741392704216199,-0.24018547525911804,3
Kazakhstan,1.8064894291783322,0.19801161062198805,0.2592111888097619,-0.17974725477234021,-0.35025295518335026,0
Iceland,3.340301674431018,-1.0421418451060906,-0.06737027930869828,-0.025282308289693523,-0.36859753517072225,0
Hungary,-0.5737207467991081,1.3141497207772592,0.07532382166831589,-0.4741392704216199,-0.4236312751328384,2
Uruguay,-0.7327661324177914,1.3141497207772592,-0.7596605739176018,1.1522520414994057,-0.4236312751328384,3
G7,-0.7270859400742671,-1.6571080504877342,-0.4653226509860411,-0.23362732261579156,-0.4419758551202104,1
Uzbekistan,-0.8122888252271332,0.09069063849167365,-1.5566961231366454,0.1473549848379706,-0.6254216549939308,3
Indonesia,-0.24032997497214154,-0.48756116656867776,-0.49595377127731527,-0.16415410002534986,1.6447383978417325,3
Slovakia,-0.7421217433365375,1.5300542647100093,0.5265215073814473,0.29058591933163014,0.47366925289365963,3
Cyprus,-0.3912863338835596,-0.5090442057659664,-0.49359165993357307,-0.4010222992146095,-0.12960879147352933,1
Croatia,-0.641883054921401,0.38199041998824146,-0.23485090914188936,-1.4063806533110061,-0.23606962283244504,2
Poland,0.3328637366841848,0.9063300266820637,1.377563169897055,0.54622113729209,-0.378017397977666,3
Lithuania,-0.06676358013955502,-0.9288585967463142,-0.4174885365187817,0.2575037658683753,-0.44899128555027645,3
Morocco,-0.2158686291570706,0.09069063849167365,-0.01403000164415627,-0.8884687739280139,-0.5199651731228869,1
United Arab Emirates,-0.8122888252271332,1.450089618808991,-0.19674676364257326,-0.8884687739280139,-0.5199651731228869,3
United Nations,-0.613482093203779,-0.589008851666985,0.39741855696576617,0.1473549848379706,-0.5199651731228869,1
Council of Europe,0.3805515669129919,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.661912948268108,1
Greece,-0.2158686291570706,0.09069063849167365,0.008665927360634429,0.1473549848379706,-0.661912948268108,2
Luxembourg,,2.1297891089676493,-0.6085069105542492,0.1473549848379706,-0.661912948268108,2
Nigeria,-0.2158686291570706,-1.9484078319843021,-0.6085069105542492,-1.4063806533110061,-0.661912948268108,1
Malaysia,,2.1297891089676493,0.008665927360634429,-2.9601162914599826,-0.697399892054413,2
Rwanda,-0.8122888252271332,-1.9484078319843021,0.008665927360634429,0.1473549848379706,-0.697399892054413,1
