country,n_chunks,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,pc19,pc20,pc21,pc22,pc23,pc24,pc25
African Union,43,0.07821262912920547,-0.029688576091148045,0.012989265617068887,-0.053169398625203645,-0.0025513801110413404,0.0005724177658098311,-0.019606094587885554,-0.0002336424661710564,-0.025301241278866272,0.05296450252414566,-0.031349876235052906,-0.016869540761094405,0.027531526531237326,-0.008203276707470121,-0.002030193162799297,0.03140629047438057,-0.009346888826499202,0.01389322277858177,-0.019072344631141606,0.015297825334997874,-0.028862474382720743,-0.012131950903492906,-0.010936851569758812,0.010568549147453515,-0.010684755708682554
Argentina,392,0.20221906279500237,0.041572127996512616,-0.0015539501848771543,-0.015482298048884494,0.0007194443839334518,0.0005417791875829322,-0.03023450339804509,-0.0010461787113634506,0.008320250918866132,0.006861630443761132,0.007024137297014248,-0.035108889160334375,-0.006470713484530403,-0.02434714162480686,-0.00990482320300461,0.024615149370306736,-0.019665186860218273,-0.009531131975467068,0.002299934888295893,-0.007700534761388179,-0.012318055890126044,0.014985492215682185,-0.028470854114426365,0.003061974645067814,0.003803060577926642
Armenia,5,0.1226364365379693,-0.038759078765731016,0.051952652751912874,-0.001355478198502591,0.012711675503333391,0.004615025799331864,-0.12502951957651676,0.0037522969216593482,-0.018254901737293334,0.019863803441793587,-0.006881599512732911,0.06227885757345619,0.0840449508384818,0.04009683560261717,0.019529007309134407,0.010330975068543769,-0.0012773436691571835,0.013634862109899568,-0.01968302759284205,-0.00995313092725581,-0.011347991935661533,0.013916636881813913,-0.007108911632371502,-0.0016474914822139247,-0.004261950923530754
Australia,1444,0.15656970415247412,0.028860414922615662,-0.007260567613867854,0.028294927805591792,-0.008808126033612295,-0.00011646795764423185,0.01166340253080952,0.0004205282702907877,-0.012643920846963771,0.004726528076155058,-0.012023768769485021,0.027837542881771815,0.024380955556835202,-0.03183624838615639,-0.004910522668782004,0.00998797825441037,0.013218728809756162,-0.010502056952519512,0.02317683783417559,0.0030337428924147344,0.005429627240986178,-0.014306347283664686,0.002462577729823663,-0.01042861487892549,0.0009423283846778851
Austria,758,0.1392253784202529,0.02427549964453199,0.0061365862083751525,-0.045785387433513416,0.03217686188423552,-0.00013439372647753588,-0.014540075604053796,0.09287808570254451,-0.01689037550465344,0.003240724003054341,0.01002043902262583,-0.006508368311607579,-0.0014148857709164306,0.010285429878738843,0.005826576371695087,-0.0017234472633074465,-0.010240369859606469,-0.008245165169471642,-0.007377506419070249,0.011004835827589838,-0.003451245244807713,-0.008279547636034262,0.015532671401909342,0.009854954161285455,0.006781105251626533
Belgium,767,0.13187365735718345,0.015886885256291648,0.0035459898998094997,-0.019464079939428443,-0.021100386760727938,0.0018001672535244036,-0.057985265504932666,0.0007392357870044218,-0.03461079409987099,0.006403480908900832,-0.00754491665380544,-0.0022493222187084843,-0.012427686957111448,-0.02949840958580705,-0.02311676406375578,0.011847725314322117,0.010490969362117047,-0.023547489240288644,-0.0029439930388756447,0.007113403386912331,-0.001241190745710916,0.002955466678890355,-0.006096865355604967,0.00928943226981367,0.013752148189594617
Brazil,25,0.24429510884172057,0.06111211532750404,-0.007075267398161338,0.031227591568810248,-0.016521864293378066,0.00042222811558183276,-0.019957836521176303,0.006763412483836725,0.11146083642310532,0.012343962899618421,0.017243949129627838,-0.07404425571526004,0.018285962980867595,0.0013694126501665857,-0.015759784867452914,0.019901545621942282,0.025295983010531712,0.0023982993943196585,0.019872257911001112,-0.023611185301414726,-0.009527800607038388,0.029744863132380416,0.0007202106592605398,0.004232830313662019,0.005744573501703064
Bulgaria,1103,0.055858533247145715,0.0070361130757940465,0.003649075859342055,-0.006953660085962519,0.00641541857193548,0.3791519634654955,-0.00915481517975995,-0.0008444035190177172,-0.007952203527901595,0.0009090357735510339,-0.00024845102563342513,-0.002444626030147852,7.212890685039424e-05,-0.0017322838992008009,0.0035269730101042582,-0.005884210438265637,-0.010381773650269653,-0.0013524549071826449,0.0012539699749690545,-0.00019771317231630196,0.006034349719651464,-0.0017392282745054952,0.006867224672178755,-0.0023850130208234064,0.016429975344728356
Canada,264,0.12894295176055118,0.006962119010657309,-5.7365480889986466e-05,-7.906269545866312e-05,-0.010276526086723919,-6.766588566437135e-05,0.007688319776503355,-5.035002698887297e-06,-0.005066172550134683,0.020078737280058132,-0.0055123996027300936,0.005145891888512787,0.02004378685731344,-0.018804239809320104,0.00029880777732605763,0.0005078966322626759,0.006403748855557745,0.005081226638190006,0.0038929112425433042,0.014576406205756386,-0.01514969967236261,-0.00796458431650017,-0.006938644220863838,0.011489130095746921,0.022466595735997966
Chile,224,0.17179527251598423,0.03433867458129522,0.011870268522956902,0.009615573059908263,-0.016488347546507954,0.002550329779876944,-0.06308569227630532,0.0031725711218155905,0.0005408746429244233,0.011319949473375269,0.005604530290393909,-0.012124365651142022,0.018144214636896742,0.0075446166000541345,0.010799124107132454,0.012477762677139279,-0.018624083866894188,0.0015546053079670183,0.01751944597501436,-0.00561916065504456,-0.006368514810267412,0.0027139518425643686,-0.007706055753521063,0.0015354852583435196,0.008488738968972884
China,180,0.16634056576851505,0.040801165480204696,-0.012237850172982338,0.055091365903318784,-0.016056435594399385,-0.0004556171383773997,0.02057999142351876,0.002721232002958264,0.0065572779647218304,0.0002139420597140051,-0.0045522929000768285,0.0009195370954084819,0.0006546331562913818,-0.013819869576595313,-0.003936920006063835,0.007380018650354618,-0.007374085338573612,0.008761546892855411,-0.002309767122496616,-0.010687428134300136,0.006645914408263822,0.005373724496222279,-0.007941556824788266,-0.014374130560019899,-0.004983308756819938
Colombia,1094,0.16943896118928248,0.032954852572258275,0.005186131659031311,0.003166652827050574,-0.01651466142265736,0.0015789237932144465,-0.04287254886000476,0.0009894167896508908,0.006436939977664394,0.005476930751637875,0.004525126892604501,-0.023085477170751247,0.017937516927505455,-0.008769905260953375,-0.0017467081157416335,0.013599273950751773,-0.008863639028514178,0.008363294335113533,-0.00885444506780147,-0.0192178810561024,-0.0012933514082646266,0.023502297178641583,-0.010010707741388238,-0.010093998568310234,0.007499546913752278
Costa Rica,605,0.07561116840025503,-0.019361663922557563,0.015311607121605904,-0.04089287328958071,-0.01016648706039618,0.0015528121656007748,-0.01847870773242887,0.0040281945269991385,0.008133933595858017,0.02094736024097458,-0.051132500219502657,0.0064840181413987385,0.016379661311396624,-0.0792686121942657,-0.014270335408037139,0.06441250614677327,-0.0419184799672857,-0.023181790114617077,-0.04666255034789868,0.044352643437814074,-0.06267696097695548,0.00400533211649871,-0.04989449034767743,0.04945396625312919,-0.010073214542188319
Council of Europe,22,0.1112170816467318,-0.011004328342538207,-0.0029697678089734615,-0.029114174292216743,-0.019910790421257155,0.00014268770844483848,0.002968903855564152,0.007925932092609328,0.11373977379582957,0.0309501909231002,-0.05620133693900275,-0.07406348976732464,0.03782062479914152,-0.04986934560387517,-0.029533377534738402,0.03528631322583066,0.02293967074158784,-0.008086566359743768,0.0035067504491835726,0.012778821409147807,-0.01533543617983934,-0.01655994800718602,0.03494906598287829,0.006834295410216398,-0.006384017772766012
Croatia,33,0.20080837295588158,0.06016143814040559,-0.014073666366595773,0.08509721098995315,-0.02685757118897348,0.0018476796561332932,0.002137602121445332,0.008268308122066697,0.06521274471251715,0.0021606334992998887,0.01797262893093482,0.002402844329956118,-0.035293183970055604,-0.01374049232200336,0.02327596634096896,-0.043876357414643824,-0.0713830329614998,0.023471917545224465,0.06500916547764791,-0.01115158768174793,-0.01028486307234601,0.003278529153077756,0.02034589986796519,0.026974822754095382,0.03264670235171481
Cyprus,57,0.2501353811704045,0.0714906201698603,-0.0033888144257313937,0.06547876124810893,-0.024684335747074345,0.0006864637399139303,-0.011882786775054473,0.002645829156621156,-0.023356496974872278,0.004943235366867993,-0.00913770487984113,0.01480982062384798,-0.026212494494150425,0.049820925651918264,-0.005796865303711128,0.019627270411609596,-0.047066206314254386,-0.0012553155817680343,-0.027608814250976117,-0.006834135658313655,6.839919031038718e-05,0.006907758218700059,0.01849820363922926,0.016443734482309888,0.008801787414217603
Czech Republic,212,0.16250944609075482,0.023734658918244677,0.009272812993036759,-0.022617105594055623,-0.02723378036422128,0.00368461078634237,-0.09633188907772398,0.0025826424562739466,-0.02157142095700401,0.009268714281061475,-0.0030019537404706908,-0.007966541342523914,-0.046371172906139756,0.0009484937427401048,-0.01409989668829278,0.005369007127495268,-0.05536848201682615,0.002160584855997895,0.036260916471774075,-0.013038319740792443,0.002383519630278382,0.011125197189798606,0.04427506201840885,0.029686516255509825,0.026244302600390918
Denmark,178,0.15925156087128794,0.026182600244148778,0.0034865705797186234,-0.009666923491670436,-0.017305085764391888,0.00224865451468861,-0.06310340216219937,0.004985099160852373,0.0616142517377151,0.019262055170848752,0.019706054187461047,-0.022966827571825558,-0.014069893341376727,0.02085631131213395,-0.0074195659092288185,-0.010205466620916889,0.0321400336000774,-0.02437488023670942,0.029307404990688495,0.026413406431579245,-0.018974770985084165,-0.02903461908006682,0.007512234445877345,0.02534714091254843,-0.007600866381584094
Egypt,123,0.16816085746927203,0.04334958170105949,-0.006640008808584609,0.04813902718597767,-0.01198070957792166,-0.00041760576018726934,0.008191953751452529,2.7620522664472178e-05,-0.02752305367585711,-0.0006271830004187912,0.005517239740378874,0.0017903585275615738,-0.012264691709536481,0.01683244208937444,-0.000985080034942845,0.007010991914555535,-0.011922395713067005,0.009779436346794715,-0.0008632817505176232,0.00046453609076396583,-0.007822106760896478,0.0031363444268404494,-0.013367496222994954,0.004514514234423324,-0.003892380802398709
Estonia,191,0.1759810659068503,0.030454236788328173,0.007507571262472029,-0.02469826459382332,-0.005552625669547428,0.0019427733704002951,-0.06447571203040413,-0.0004210605914307532,0.003606692105213758,0.003833557081069424,0.005997524293898924,-0.01959552363516488,-0.009378297200184425,0.009510895627902817,-0.0022772515158077412,0.006203997747552256,0.008531417221287101,-0.012714167570837875,-0.016369255393494635,0.0030036405975357038,-0.009174362934501272,0.002277068353783361,0.005507860330106432,0.01557033519849113,0.005355939771779295
European Union,4000,0.12044707842192227,0.015829652165346316,0.006438078771066828,-0.026944720180248093,0.022350616322657085,-0.0005516407234513963,0.013337124711639637,0.002702459273896216,-0.0025510585077488015,0.029000941697867072,-0.09608894149724341,-0.0015512952581108704,-0.02760148935986143,0.02514825981281399,0.007382171984630794,-0.02632139736007585,-0.0020590013846409384,-0.026720730306882802,-0.008154058432269917,-0.0032532427417340452,0.013028808059526241,-0.006774453935365119,0.020149398027947293,-0.0017008574060624064,-0.010040100407134905
Finland,527,0.1460173038866413,0.025425047954404627,-0.0021897440868342676,-0.00019238038192484908,-0.01251600216636448,0.0017354988935887712,-0.03345695529409348,0.006020376830203218,0.08785954072060202,0.011910018584576118,0.002926522226697244,-0.016637336108176446,-0.0014845564142698807,-0.012440119483283196,-0.0021195508618177443,-0.009725521384280447,0.02168875451819152,-0.028761466253506073,0.007288791000051714,0.01795092516246362,-0.0066269762270752255,-0.01929946634220032,-0.000748407562619197,0.01317713844155129,-0.008717198628649368
France,581,0.19015183644882638,0.04866989530866775,-0.007251571452687909,0.04237704019924516,-0.007665980917498899,-0.0004764900744894692,0.010367821087701219,0.002298129016662102,0.005577589227416258,0.007482930452667387,-0.001532894142580117,-0.018978297258472287,-0.0064369125015488905,2.8493913935107217e-05,0.012075512506167795,0.0009732617947376245,-0.012309095703859246,-0.01701945477824592,-0.0035320983238775853,0.022743521959967275,-0.010390766914756627,-0.015149510657308669,-0.009385885840077724,0.020404251528888,0.015631185115492816
G7,232,0.21448903259431512,0.06463923786487237,-0.007902009320836092,0.05065524753029898,0.006406047382902989,-0.001635731298497708,0.028140438107423674,-0.003181508915608638,-0.0300751278814328,-0.000352061215885214,0.011314620605112563,0.015840637943893687,0.018235508504491037,0.051651303865347865,-0.0049081936733185606,0.015072734995353028,0.018879142514488488,0.00973697832287017,-0.02793953410689201,0.0006516254749322881,-0.009588582496201847,0.026495668560074695,-0.0048785074660973584,0.014001784035544492,0.0024955322540220755
Germany,2060,0.09912620970388616,0.02018954054482767,-0.002317042094880121,-0.0044239127254963725,0.01864943836852858,-0.0005709410450059337,0.01592959540193837,0.14617650837507182,-0.016697219311690763,-0.004999715314369992,0.014390154377095468,0.0015868542522117347,-0.01575608525350903,-0.014325346127280371,0.009893435065153118,-0.024036198302328914,-0.012336528545016084,-0.007167788288017949,-0.01947631538917073,0.007804545054465156,-0.0038995102836297847,-0.00853655403690219,-0.0009023418758574033,0.005790179933520294,0.012386613970050454
Global Partnership on Artificial Intelligence,101,0.14242644506222316,0.0408892506706682,-0.011707813792842787,0.05190332953251559,-0.008699079269434735,-0.0010281783063653207,0.02826105107151815,0.000549258907329417,-0.012356420469520008,-0.00022943325514943283,2.7436502064925414e-05,0.005155018093965265,-0.008494066282271518,0.00954039436311511,-0.009533155001370579,0.014421977284828127,-0.004649785914314726,0.0014298184304207741,-0.002789080655619569,0.01225216886352078,-0.010319413881546417,0.0002727337821162044,0.0034879501640098444,0.014615366984198705,0.010267435315545647
Greece,21,0.11368140919968853,0.010332500956279508,-0.0026118640576012642,-0.0029609842787202967,-0.016521400570739312,0.0009725861217260311,-0.028303233783751436,0.00042344322458736196,-0.024465680080954438,0.003995055608989808,-0.015152003572905475,0.013836808856664743,-0.017305375310982186,-0.032458778682858354,-0.022750190155576992,0.008508061392526786,0.009872908319412057,-0.023890851420501652,-0.009532271185685587,0.01792919136645703,-0.0025162800254414537,-0.015629954531943793,-0.014047623159132584,0.0029786565598265095,0.009955337185791755
Hungary,78,0.20687961459093657,0.05001076836593094,-0.008091862107306754,0.0170446809384764,0.0024207614916230487,-4.7213308312597366e-05,-0.010461764982799757,-0.00044095452364569296,-0.0007409202664010111,-0.004632314755370699,0.01681647421018362,-0.012585547010646462,-0.03682657096701172,0.01597326523104265,-0.0020524093079365693,-0.005169422326503416,-0.002344071000813557,-0.011199430140851074,0.0012093608435072164,0.013418347211948563,0.002045162968580795,-0.008348097410055905,-0.002148193675290773,0.005123940368117268,0.01029392424790351
Iceland,85,0.13692012109496446,0.010675316936228378,-0.002520656253537802,-0.08044913543936194,0.05304681928975534,-0.001360619100150788,0.012568274054351528,-0.0010507875562813561,0.007526388993909556,0.008028406474448309,-0.019607266772167346,-0.010603669741929634,-0.01871503286995645,-0.02585196710161842,0.00794964906458382,0.04691542490252637,-0.023444610556064484,-0.016420382428495844,0.055760947130281874,0.025507239803650314,0.003546269605845481,-0.055364172742034264,-0.027071452859645885,-0.012190068512366203,-0.02601617388023983
India,1157,0.15445821713266458,0.04217717707171394,-0.010328982810562342,0.017573877626570467,0.019613975519525585,-0.0018731851307347011,0.03461888501642003,-0.004184432582458748,-0.017859545244114157,-0.007531206350625355,0.016048028186238586,0.006378756341525274,-0.01848210254027425,0.010796173089923915,0.004084184526932646,-0.009283215737361919,-0.0022394754132978676,0.011231938274813284,-0.011585682199379487,0.008527812093117126,-0.0090860762990656,-0.0026971196444157044,-0.010022238458798524,0.004860324290418476,0.0020016545639298233
Indonesia,161,0.19704489897206584,0.03982872740064055,-0.003032395188553129,-0.029021447054642855,-0.014110540684209312,0.0027521677180509722,-0.08717167066152375,0.004790872087184153,0.17572157095910848,0.0013971677144479847,0.055188421582164436,-0.08938716085734055,-0.02272318197537131,0.009870925198582152,-0.011901296268111362,-0.03592852641678096,0.04553776062209956,0.0021509639543791054,0.005947922611966733,-0.0020554093949247034,-0.010192721696179267,0.025800671384738277,-0.022343456400688307,0.005038922533449073,0.015127698470380316
Ireland,527,0.14821860406132192,0.030369701662979566,0.0005881250129434986,-0.0013818679920192445,-0.011504740783674491,0.0013008557728850603,-0.040912228848203336,-0.0005687603301884089,-0.02035201997089808,-0.0016283877121027952,0.007514661878610284,0.019639287020810338,-0.025044172246543532,0.02304971531016419,-0.019145881921782442,-0.0006369793096382989,0.006109462053626984,-0.012336569004200729,0.01574804450256392,0.010669858944976457,0.010623348367227498,-0.024302013838256312,0.009438633968755597,-0.01596318753866036,0.00887860765677122
Israel,664,0.12754043216306926,0.011992893855810278,-0.0029798320181484757,-0.015111083838579153,-0.009164260095610546,0.0006937650027678026,-0.015656281713895864,0.0011579295875746311,0.03320849487623863,0.005152913371164294,-0.006153325031171188,-0.006964155625282401,-0.003024726494053964,-0.03062134583079625,-0.01284341776366931,-0.003376739702464325,0.011761076833107622,-0.007445519707631557,-0.011418145040594675,0.002614956523792664,0.00019667084390857716,-0.0022840382297188875,0.0005030619065606953,-0.004801032877993234,-0.00800387962743716
Italy,302,0.16016118790155467,0.02514087572563633,-0.003487806759155158,-0.02352383162096445,0.011708459095625607,6.594756745946998e-05,-0.014401844847097656,-0.0007163931261605079,0.00310025487367149,0.004009096951144352,0.003986143327823096,-0.008009436215696619,-0.037556230979906235,-0.009605330565018737,-0.005265522543598,-0.005169948560003451,-0.0095717138563319,-0.016538994344736054,-0.024878079628515338,0.011530854572940008,-0.009680805887874741,-0.0018818282470194634,0.004858469491239718,0.015435897755487342,0.005615108455093555
Japan,1739,0.13975611674674304,0.031213564412090597,-0.010101693464591303,0.00856458161197751,0.015893198732808245,-0.0016238157382784484,0.03550016901799458,-0.004982661680773006,-0.013682945810806915,-0.002592855191382097,0.00848275812034586,-0.009962235028602651,-0.0018003499277286074,-0.053234662886222625,0.022864728988092112,-0.04184693130491462,-0.034684390135255,0.013353350995748305,-0.022526344602305355,-0.02853511352425995,-0.004092376107409695,0.016646145843813753,-0.0017571474312331001,-0.014825302598006757,-0.03737997003734122
Kazakhstan,90,0.07417719699849062,-0.010645296324359926,0.000336616853912333,-0.02192343905546868,-0.023559549207742208,0.0015190945361593597,-0.031423749248165836,0.0027719107787557273,0.01752449279363749,0.006373518033365213,-0.010594845726025834,-0.006978557975854393,-0.03151212740043779,-0.0361195791799126,-0.01367961089153831,0.00790194741954007,-0.009576123261704556,0.012761425606076965,-0.0005236640224754562,0.0017322870110418548,-0.00870051839520932,0.004738579177296321,0.00806501431397482,0.014357860785246538,0.009209687667062762
Kenya,332,0.1335808732180258,0.018810543320287212,0.018858949044334203,-0.02969472384163559,-0.01272204216538604,0.0026621164197389783,-0.08626621501226024,-0.0016230055767912051,-0.04815980532269048,0.007242073492501502,0.010479462230208058,0.004618876447049442,0.03359940969405967,0.017303203548685774,0.011829007416494272,-0.010936882253226728,0.01858111679409257,-0.0018644997968877098,0.00024344287674727959,0.020233245512586293,0.004096443190478141,-0.03194893110186638,-0.02138349963990519,-0.0175624443272237,-0.009532026034564744
Korea (Republic of),273,0.1267544694674369,0.023622275662950602,-0.003170645181176002,0.005284417029054271,-0.01617489683032521,0.0013005613123855879,-0.03545046222781056,0.0006798968563893542,-0.009389895732784875,-0.004142313598587988,0.01597287568532786,0.00423352119062372,-0.03053441796432541,0.0015213861336999689,-0.007517797433354214,-0.0025725819499039463,0.00602029060917017,-0.00707780564771559,0.014330460613041112,0.012039948298850136,0.003928012405428651,-0.01589593540164834,-0.0316368327033654,-0.018600019903293994,-0.010716876004672613
Latvia,338,0.1168376245155883,0.012063261401016634,0.011131986777156055,-0.046562621574916196,0.0034794178774970354,0.0017723695446567834,-0.061528951664463344,-0.002663650038205193,-0.03157035175334621,0.004804652370039916,0.000784172096627493,-0.014581263651623929,0.011836388047764594,-0.0094805588574672,0.008787439174312711,-0.012219555226811986,-0.006429877805830785,-0.005563797048925945,-0.019577427780052233,0.005749962478860173,-0.0036064765544931332,0.00527514196617444,0.0010659613893893784,0.01054327743075722,0.024468719916855407
