pc,explained_variance_ratio,cumulative_variance_ratio,admissibility,pc_type,tags,short_label,long_label,pos_summary,neg_summary,notes
PC1,0.00528343936499545,0.00528343936499545,inadmissible,structural,"structural_language,structural_masking,structural_multilingual,admissibility_inadmissible",English AI vocab vs masked/non-English,English AI governance vocabulary contrasted with masked tokens and non-English language artifacts.,English AI governance and public-sector framing.,Masked/unmasked tokens and non-English fragments.,"POS evidence: ai, data, digital, intelligence, development, artificial, public, research, artificial intelligence, use, systems, national | NEG evidence: unmasked unmasked, masked medium, masks masked, институциите, учебни програми, работят, учебен процес, постижения, контекста, по изкуства, съвременните, постигане на"
PC2,0.0117815058660433,0.01706494523103875,mixed,mixed,"substantive_ai_governance,structural_us_statute,admissibility_mixed",AI governance vs US defense code,AI governance discourse contrasted with US defense statutory drafting form.,"AI systems, ethics, governance, generative AI.",US code and defense statute scaffolding.,"POS evidence: ai, data, artificial, artificial intelligence, intelligence, ai systems, digital, systems, use, learning, human, models | NEG evidence: section, defense, 22, sec, secretary, 10, shall, subsection, 120721, 10 22, united states, united"
PC3,0.008362147795361081,0.02542709302639983,inadmissible,structural,"structural_language,language_spanish,admissibility_inadmissible",Spanish language axis,Spanish-language surface form dominates variance.,Spanish policy language.,English AI and statutory vocabulary.,"POS evidence: la, el, en, del, que, las, los, digital, para, se, digitales, en el | NEG evidence: ai, section, systems, defense, sec, ai systems, data, secretary, subsection, united states, united, research"
PC4,0.0062891528106390135,0.031716245837038845,admissible,admissible,"privacy_data_protection,rights,legal_governance,admissibility_admissible",Data protection governance,Personal data protection and privacy governance contrasted with AI research and systems framing.,"Controller, consent, data subject, privacy architecture.","AI systems, research, generative AI framing.","POS evidence: data, personal, personal data, processing, protection, data protection, information, public, digital, controller, sharing, access | NEG evidence: ai, ai systems, intelligence, artificial, artificial intelligence, 22, research, systems, use ai, generative, generative ai, 10"
PC5,0.005939665856310398,0.03765591169334924,inadmissible,structural,"structural_language,language_bulgarian,admissibility_inadmissible",Bulgarian language axis,Bulgarian-language surface form dominates variance.,Bulgarian education and digital transformation language.,English statutory and cross-lingual boilerplate.,"POS evidence: на, за, да, се, от, по, обучение, да се, които, са, като, образованието | NEG evidence: ai, data, section, sec, subsection, la, defense, inserting, shall, title, secretary, striking"
PC6,0.005701935191986243,0.043357846885335484,inadmissible,structural,"structural_ids_dates,structural_boilerplate,privacy_data_protection,admissibility_inadmissible",IDs and boilerplate residue,Document identifiers and boilerplate dominate variance.,"IDs, dates, headers with privacy terms.",Clean strategy-oriented development language.,"POS evidence: ai, data, personal data, personal, 22, ai systems, 120721, 10 22, la, systems, processing, 10 | NEG evidence: digital, national, development, transformation, education, research, innovation, digital transformation, government, skills, public, economy"
PC7,0.005267766344118044,0.04862561322945353,inadmissible,structural,"structural_ids_dates,structural_headers,admissibility_inadmissible",Document IDs and dates,Identifiers and date fragments dominate variance.,Document IDs and dates.,Congressional drafting markup.,"POS evidence: 22, 120721, 10 22, 10, digital, 24, 2021, al 11, 000000, 000000 po, 6652, 6652 6201 | NEG evidence: section, sec, ai, inserting, subsection, title, defense, striking, united states, contained, provision, united"
PC8,0.004202727442449434,0.052828340671902965,inadmissible,structural,"structural_language,language_german,admissibility_inadmissible",German stopword axis,German-language stopwords dominate variance.,German stopwords.,Data sharing and privacy language.,"POS evidence: die, und, der, des, fur, von, zu, den, das, im, mit, werden | NEG evidence: data, sharing, personal data, 22, data sharing, personal, use, 120721, 10 22, model, privacy, section"
PC9,0.003772807392587878,0.05660114806449084,admissible,admissible,"ai_ethics,research_framing,digital_transformation,admissibility_admissible",Ethics vs digital delivery,AI ethics and research framing contrasted with digital transformation and service delivery.,"Ethics, research, reports, national AI framing.","Digital transformation, services, skills.","POS evidence: artificial, intelligence, artificial intelligence, https, www, https www, org, 2019, pdf, research, gov, personal data | NEG evidence: digital, ai, transformation, skills, services, digital transformation, service, public, digital skills, training, economy, government"
PC10,0.003587378558759099,0.06018852662324994,inadmissible,structural,"structural_legislative,structural_markup,admissibility_inadmissible",Legislative mechanics,Statutory drafting mechanics dominate variance.,"Insert, strike, amend, redesignate.",Conference report scaffolding.,"POS evidence: section, inserting, striking, subsection, amended, paragraph, title, redesignated, digital, amended striking, chapter, transferred | NEG evidence: sec, defense, contained, provision, senate, house, provision sec, amendment, department, senate amendment, amendment contained, house contained"
PC11,0.0032898038722654404,0.06347833049551538,inadmissible,structural,"structural_legislative,structural_corrupted_tokens,admissibility_inadmissible",Statutory scaffold and corrupted tokens,Statutory scaffolding and corrupted tokenization dominate variance.,Drafting scaffolding with AI terms embedded.,Corrupted regulation fragments.,"POS evidence: data, inserting, section, striking, subsection, amended, title, learning, redesignated, artificial, intelligence, artificial intelligence | NEG evidence: ar, shall, ticle, ar ticle, regulation, ser, eu, european, commission, author, inf, ser vices"
PC12,0.0031290811805036716,0.06660741167601905,admissible,admissible,"uk_policy,online_targeting,algorithmic_bias,admissibility_admissible",UK targeting and bias oversight,UK oversight of online targeting and algorithmic bias.,"Gov.uk publications, targeting, bias review.",Implementation and processing language.,"POS evidence: https, uk, www, https www, gov, gov uk, government, org, pdf, www gov, uk government, online | NEG evidence: artificial, intelligence, artificial intelligence, digital, personal data, personal, development, machine, transformation, digital transformation, systems, translated"
PC13,0.0029248982280113667,0.06953230990403042,admissible,admissible,"human_rights,automated_decision_making,algorithmic_bias,admissibility_admissible",Rights and ADM vs R&D,Human rights and ADM governance contrasted with research and innovation framing.,"Rights, decision-making, bias.",Research funding and innovation.,"POS evidence: digital, https, digital transformation, transformation, government, www, rights, https www, service, gov, decision, public | NEG evidence: research, 000, data, science, innovation, development, scientific, projects, european, funding, support, project"
PC14,0.0028056331526279048,0.07233794305665832,admissible,admissible,"eu_policy,governance_architecture,liability_risk,admissibility_admissible",Strategy vs liability,Governance architecture contrasted with liability and risk framing.,"Strategy, data sharing, public sector.","Liability, risk, automated harm.","POS evidence: data, digital, ai, european, eu, strategy, sec, ar, ticle, ar ticle, national, defense | NEG evidence: learning, systems, decision, machine, human, information, machine learning, 000, article, law, decision making, quality"
PC15,0.002544648321907697,0.07488259137856601,admissible,admissible,"skills_training,applied_programs,admissibility_admissible",Skills and applied programs,Skills and training programs contrasted with research and strategy framing.,"Training, skills, applied models.",Research and governance framing.,"POS evidence: 000, digital, 000 000, learning, https, ai, digital transformation, transformation, systems, machine learning, sec, machine | NEG evidence: research, innovation, shall, government, public, sector, secretary, committee, science, scientific, la, uk"
PC16,0.0024884338645962422,0.07737102524316225,admissible,admissible,"privacy_data_protection,human_rights,legal_framework,admissibility_admissible",Legal privacy vs ML quality,Legal privacy and rights governance contrasted with ML and quality management.,"Rights, privacy, legal authority.",ML models and quality management.,"POS evidence: 000, personal data, personal, protection, article, law, ai, rights, data protection, public, 000 000, research | NEG evidence: learning, machine learning, quality, models, machine, model, ar, ticle, ar ticle, systems, ser, data"
PC17,0.0022486834700763585,0.0796197087132386,admissible,admissible,"public_sector,automated_decision_making,regulatory_oversight,admissibility_admissible",Public-sector ADM oversight,Public-sector automated decision-making oversight.,Public sector decision-making and bias review.,Research and education artifacts.,"POS evidence: 000, government, uk, intelligence, artificial, artificial intelligence, public, sector, decision, shall, public sector, gov uk | NEG evidence: https, learning, personal data, personal, education, research, machine, machine learning, science, eu, ai, article"
PC18,0.002135903220672836,0.08175561193391144,mixed,mixed,"defense_science_programs,cyber_security,structural_institutional,admissibility_mixed",Defense science programs,Defense and science program governance contrasted with market and EU framing.,"Defense, committees, science programs.",Market and liability framing.,"POS evidence: shall, secretary, defense, national, digital, science, committee, security, ai, https, research, department | NEG evidence: contained, provision, sec, european, amendment, eu, provision sec, senate amendment, amendment contained, house contained, contained provision, senate"
PC19,0.0020084317424360724,0.08376404367634752,admissible,admissible,"education,skills_training,privacy_data_protection,admissibility_admissible",Education capacity and data rights,Education capacity-building combined with data protection.,"Schools, students, teachers, data protection.",Infrastructure and administrative framing.,"POS evidence: education, personal, personal data, skills, uk, people, science, online, students, training, school, educational | NEG evidence: eu, european, data, public, https, service, models, article, services, open, europa, europa eu"
PC20,0.0018940129540395412,0.08565805663038706,unknown,,admissibility_unknown,,,,,
PC21,0.0018661658245541653,0.08752422245494122,mixed,mixed,"eu_safety,cyber_security,structural_markup,admissibility_mixed",EU safety vs markup,EU safety and cyber framing contrasted with conference markup.,Safety and cyber policy.,Conference markup language.,"POS evidence: sec, systems, security, eu, european, 295, subtitle, cyber, states, 295 133, united, safety | NEG evidence: contained, provision, house, senate, amendment, 000, provision sec, senate amendment, public, amendment contained, house contained, contained similar"
PC22,0.0018469139780975768,0.0893711364330388,unknown,,admissibility_unknown,,,,,
PC23,0.0017755203376379994,0.0911466567706768,admissible,admissible,"service_delivery,generative_ai,public_administration,admissibility_admissible",Service delivery and deployment,AI deployment and service delivery contrasted with rights-heavy governance.,"Services, applications, deployment.",Rights and regulatory framing.,"POS evidence: sec, ai, public, uk, article, government, generative, personal data, personal, generative ai, service, subtitle | NEG evidence: european, eu, human, research, systems, decision, digital, rights, europe, secretary, decision making, commission"
PC24,0.001763750336288829,0.09291040710696563,admissible,admissible,"education,skills_training,algorithmic_bias,admissibility_admissible",Education and bias oversight,Education and skills governance with algorithmic bias oversight.,"Education, training, bias review.",Cyber and industrial framing.,"POS evidence: sec, education, skills, training, european, eu, data, decision, research, digital skills, decision making, liability | NEG evidence: personal, personal data, security, technology, systems, energy, technologies, global, development, infrastructure, contained, cyber"
PC25,0.0016328051553578793,0.09454321226232351,admissible,admissible,"health,health_data,public_services,admissibility_admissible",Health and health data,Healthcare delivery and health data systems.,Healthcare services and patient data.,Economic and industrial framing.,"POS evidence: health, care, research, medical, information, healthcare, services, patient, patients, health care, systems, social | NEG evidence: machine learning, learning, uk, machine, sec, model, models, regulatory, united, companies, innovation, quality"
PC26,0.0016193957488848335,0.09616260801120835,admissible,admissible,"liability_harm,damage,legal_framework,admissibility_admissible",Civil liability and damage,Civil liability and damage in automated systems.,Liability and damage.,Governance and rights framing.,"POS evidence: research, liability, digital, del, damage, uk, article, servicio, pcm, nacional, transformacion, transformacion digital | NEG evidence: la, education, training, que, el, generative, https, plan, generative ai, skills, social, brussels"
PC27,0.0015838046676723294,0.09774641267888068,admissible,admissible,"foundation_models,generative_ai,model_governance,admissibility_admissible",Foundation model ecosystem,Foundation and generative model ecosystem governance.,Foundation models and projects.,Standards and safety framing.,"POS evidence: models, research, generative, generative ai, personal data, project, personal, model, language, foundation models, foundation, projects | NEG evidence: liability, damage, learning, education, data, machine learning, quality, skills, national, science, 2019, states"
PC28,0.001526597359425507,0.09927301003830619,admissible,admissible,"foundation_models,rights_security_privacy,admissibility_admissible",Foundation model rights and security,"Rights, security, and privacy in foundation model governance.",Rights and security framing.,Sectoral application framing.,"POS evidence: generative, models, generative ai, information, research, security, rights, online, united, foundation, united states, science | NEG evidence: health, quality, personal data, defense, personal, machine learning, uk, machine, learning, care, secretary, ai"
PC29,0.0015076528359764568,0.10078066287428264,admissible,admissible,"liability_harm,automated_systems,cyber_security,admissibility_admissible",Automated system liability,Liability and harm in automated systems.,Liability and damage language.,Digital transformation framing.,"POS evidence: liability, damage, la, systems, du, vehicle, research, donnees, ou, le, caractere, traitement | NEG evidence: health, del, servicio, united, care, states, nacional, united states, transformacion, transformacion digital, 2019, quality"
PC30,0.0014793442910432874,0.10226000716532593,admissible,admissible,"automated_decision_making,human_rights,algorithmic_bias,admissibility_admissible",ADM and rights,Algorithmic decision-making and human rights protections.,ADM and bias protections.,Platform targeting governance.,"POS evidence: decision, decision making, making, defense, human, digital, 2018, 2019, research, algorithmic, la, automated | NEG evidence: online, generative, generative ai, liability, online targeting, targeting, information, content, damage, del, 000, quality"
PC31,0.0014594451666452486,0.10371945233197118,admissible,admissible,"foundation_models,health,liability,admissibility_admissible",Models and health governance,Model-centric governance intersecting with health and liability.,Models and healthcare framing.,Systems and transport framing.,"POS evidence: health, generative, generative ai, models, european, la, care, machine learning, science, du, research, liability | NEG evidence: systems, education, https, ai systems, del, skills, development, www, https www, vehicle, data, vehicles"
PC32,0.0013925804586282506,0.10511203279059943,admissible,admissible,"online_targeting,platform_regulation,risk_governance,admissibility_admissible",Platform targeting regulation,Regulation of online targeting and platform risk.,Targeting and regulatory oversight.,Liability and damage regime.,"POS evidence: online, online targeting, targeting, defense, regulatory, uk, regulation, eu, risk, protection, content, regulators | NEG evidence: liability, decision, damage, united, united states, decision making, making, states, human, public, automated, government"
PC33,0.001379067882341798,0.10649110067294122,inadmissible,structural,"structural_language,language_french,admissibility_inadmissible",French legal language axis,French legal surface form dominates variance.,French legal language.,English service discourse.,"POS evidence: du, generative, donnees, generative ai, ou, le, del, traitement, caractere, caractere personnel, des, donnees caractere | NEG evidence: el, que, se, las, research, united, digital transformation, united states, transformation, states, digital, service"
PC34,0.0013496718564529459,0.10784077252939417,inadmissible,structural,"structural_artifact_lowprop,defense_appropriations,admissibility_inadmissible",Defense and artifact axis,Defense appropriations and artifact tokens dominate variance.,Defense and fiscal language.,Legal and maritime terms.,"POS evidence: generative, defense, generative ai, liability, ministry, damage, department, national, lowprop, el, technology, fiscal year | NEG evidence: united, states, united states, du, donnees, ou, le, traitement, caractere, caractere personnel, donnees caractere, des"
PC35,0.001307970758535227,0.1091487432879294,admissible,admissible,"public_administration,standards,agency_governance,admissibility_admissible",Agency standards governance,Public administration standards and agency governance.,Agencies and standards.,Targeting and translation noise.,"POS evidence: government, information, models, federal, education, decision, australia, australian, technology, agencies, agency, services | NEG evidence: online, research, scientific, data, people, online targeting, liability, targeting, damage, systems, google, translated"
PC36,0.0012627866693133674,0.11041152995724277,admissible,admissible,"aviation_safety,transportation,automation,admissibility_admissible",Aviation and transport safety,Safety governance in aviation and transport automation.,Aviation and vehicle safety.,Defense and cyber framing.,"POS evidence: generative, generative ai, air, science, aircraft, lowprop, shall, administrator, force, safety, sec, vehicle | NEG evidence: defense, states, united, united states, security, damage, liability, law, models, national, online, cyber"
PC37,0.0012518852265017602,0.11166341518374452,inadmissible,structural,"structural_language,language_kinyarwanda,admissibility_inadmissible",Kinyarwanda language axis I,Kinyarwanda surface form dominates variance.,Kinyarwanda language.,Governance residue.,"POS evidence: public, amakuru, european, eu, services, service, personal, systems, personal data, force, cyangwa, online | NEG evidence: lowprop, lowprop lowprop, health, digital, data, security, regulatory, governance, zero lowprop, lowprop zero, risk, innovation"
PC38,0.001233592079632297,0.11289700726337681,inadmissible,structural,"structural_language,language_kinyarwanda,admissibility_inadmissible",Kinyarwanda language axis II,Kinyarwanda surface form dominates variance.,Kinyarwanda language.,Lowprop and governance residue.,"POS evidence: amakuru, cyangwa, generative, health, mu, generative ai, bwite, models, amakuru bwite, uk, development, force | NEG evidence: lowprop, science, public, information, online, lowprop lowprop, people, technology, ministry, companies, services, sector"
PC39,0.0012218862903539496,0.11411889355373077,inadmissible,structural,"structural_language,language_kinyarwanda,admissibility_inadmissible",Kinyarwanda language axis III,Kinyarwanda surface form dominates variance.,Kinyarwanda language.,Generative and security framing.,"POS evidence: amakuru, cyangwa, mu, bwite, models, amakuru bwite, regulatory, public, australia, umugenzuzi, umugenzuzi amakuru, ku | NEG evidence: generative, generative ai, ministry, uk, security, decision, states, european, gov uk, decision making, systems, bias"
PC40,0.001194313542230877,0.11531320709596164,mixed,mixed,"foundation_models,defense_space,structural_language,admissibility_mixed",Foundation models vs language axis,Foundation model and defense/space governance contrasted with language artifacts.,Foundation and defense models.,Language artifacts.,"POS evidence: models, force, foundation models, air, foundation, air force, model, aircraft, space, regulatory, education, training | NEG evidence: amakuru, generative, cyangwa, generative ai, mu, bwite, project, amakuru bwite, umugenzuzi amakuru, umugenzuzi, ku, digital"
