a_raw_text,a_class,count
the government,explicit,379
it,explicit,284
that,explicit,142
they,explicit,88
we,explicit,86
this,explicit,86
which,explicit,64
educational leaders,explicit,59
ai,explicit,45
the region,explicit,37
"unauthorized use , reproduction , or distribution of individual content or entire pages",explicit,36
you,explicit,30
who,explicit,23
the programme,explicit,18
this principle,explicit,18
educators,explicit,16
the beneficiary,explicit,12
students,explicit,12
special attention,explicit,11
the corporation,explicit,10
teachers,explicit,10
the applicant,explicit,9
malta,explicit,9
projects,explicit,9
the application,explicit,9
the commission,explicit,8
machine translated by google the government,explicit,8
the digital education strategy,explicit,8
the calls for proposals,explicit,8
ai systems,explicit,8
this guideline,explicit,8
the project,explicit,8
the strategy,explicit,8
the department,explicit,8
the following,explicit,7
the award procedure used,explicit,7
the aid,explicit,7
the mede,explicit,7
test operators,explicit,7
the task force,explicit,7
ai literacy,explicit,7
the plan,explicit,7
the action plan,explicit,7
schools,explicit,6
the test operator,explicit,6
this plan,explicit,6
everyone,explicit,6
what,explicit,6
this section,explicit,6
applications,explicit,6
technology,explicit,6
the country,explicit,5
the case,explicit,5
this document,explicit,5
these,explicit,5
leaders,explicit,5
failures,explicit,5
digital,explicit,5
particular attention,explicit,5
this programme,explicit,5
digital skills,explicit,5
the eu,explicit,5
organisations,explicit,5
the policy council,explicit,5
the maltese government,explicit,5
i,explicit,4
these skills,explicit,4
digital technologies,explicit,4
humans,explicit,4
users,explicit,4
the mdia,explicit,4
an educational leader,explicit,4
paragraph one,explicit,4
eligible expenses,explicit,4
this process,explicit,4
"the ministry of education , youth and sports",explicit,4
people,explicit,4
the programme team,explicit,4
the beneficiary entity,explicit,4
the authorities,explicit,4
ÿ,explicit,4
beneficiaries,explicit,4
the report,explicit,4
the european commission,explicit,4
training programmes,explicit,4
the initiative,explicit,3
ai tools,explicit,3
all children,explicit,3
citizens,explicit,3
information,explicit,3
the ai system,explicit,3
this report,explicit,3
the uom,explicit,3
digitalisation,explicit,3
the auditor,explicit,3
this initiative,explicit,3
"i may 1 ,",explicit,3
the selected projects,explicit,3
the document,explicit,3
these documents,explicit,3
your district,explicit,3
the evaluation,explicit,3
payment,explicit,3
● ai - enhanced products and services,explicit,3
these systems,explicit,3
government,explicit,3
the test manager and the test driver,explicit,3
these three chatbots,explicit,3
a teacher,explicit,3
the organizers,explicit,3
these goals,explicit,3
the team,explicit,3
these guidelines,explicit,2
the recorded data,explicit,2
machine learning elements,explicit,2
the hub,explicit,2
a task force,explicit,2
this proposal,explicit,2
institutions,explicit,2
pages,explicit,2
action at eu level,explicit,2
this service,explicit,2
commission,explicit,2
the following obstacles,explicit,2
this resolution,explicit,2
the resources,explicit,2
the redevelopment of the ring,explicit,2
the connected schools programme,explicit,2
companies,explicit,2
these reforms,explicit,2
the following information,explicit,2
these resources,explicit,2
the decision,explicit,2
the deadline for submitting applications,explicit,2
readers,explicit,2
developers,explicit,2
the process,explicit,2
other actors,explicit,2
the following three points,explicit,2
data,explicit,2
the projects,explicit,2
the brussels region,explicit,2
priority,explicit,2
these chairs,explicit,2
the cover page and table of contents,explicit,2
the body,explicit,2
the grants awarded,explicit,2
the proposed project,explicit,2
digital competence,explicit,2
this decision,explicit,2
the grant,explicit,2
the guidelines,explicit,2
our leadership team,explicit,2
this committee,explicit,2
the requests,explicit,2
this act,explicit,2
this pathway,explicit,2
administrators,explicit,2
consideration,explicit,2
the corresponding procedure,explicit,2
the beneficiaries,explicit,2
consumers,explicit,2
these core elements and principles,explicit,2
the corresponding translation of concepts and documents,explicit,2
this call,explicit,2
this call for expressions of interest,explicit,2
this line of action,explicit,2
project leaders,explicit,2
ai applications,explicit,2
the certification process,explicit,2
machine translated by google quality of components other than machine,explicit,2
the corresponding transfer of concepts and documents,explicit,2
the listening session,explicit,2
your leadership team,explicit,2
the smart education at schools programme,explicit,2
work,explicit,2
he,explicit,2
the documentation,explicit,2
tests,explicit,2
smaller font sizes ( minimum 8 points ),explicit,2
which by their nature,explicit,2
what risks,explicit,2
us,explicit,2
what changes to the core elements and principles,explicit,2
no person,explicit,2
3 data,explicit,2
bpv,explicit,2
educational institutions,explicit,2
the pact,explicit,2
the investigating body,explicit,2
the seats programme,explicit,2
various studies,explicit,2
the activities,explicit,2
education,explicit,2
machine learning,explicit,2
the subcontracted tasks,explicit,2
the entity,explicit,2
the strength,explicit,2
members of the task force,explicit,2
financial support,explicit,2
applicants,explicit,2
external quality,explicit,2
the system,explicit,2
member states,explicit,2
sufficient operational data,explicit,2
the effectiveness of the agreement,explicit,2
,explicit,2
● ai - enhanced products,explicit,2
the educational leader,explicit,2
specific attention,explicit,2
t,explicit,2
the technology pact,explicit,2
task force members,explicit,2
the new action plan,explicit,2
the main conclusions from the needs analysis,explicit,2
the test driver,explicit,2
generative ai,explicit,2
the solution,explicit,2
attention,explicit,2
the plant owner,explicit,2
the aisl,explicit,2
the plant system manager,explicit,2
the ami,explicit,2
tools,explicit,2
all members of the school community,explicit,2
the vendor,explicit,2
tuning,explicit,2
researchers,explicit,2
digital technology,explicit,2
this vision,explicit,2
all educators,explicit,2
the result,explicit,2
the application for authorization,explicit,2
this strategy,explicit,2
digital education,explicit,2
the policy pursued,explicit,2
the internal quality requirements,explicit,2
each person in charge,explicit,2
malta :,explicit,2
section,explicit,2
educators themselves,explicit,2
the eu digital skills and job coalition strategy for the coming years,explicit,1
"the eu , under a team europe approach ,",explicit,1
the financial audit report of the supporting documentation,explicit,1
the eu 's ai law,explicit,1
"the expense derived from the report made by an auditor , when their contribution is required ,",explicit,1
the expenditure,explicit,1
the fake methodological suggestions,explicit,1
the existence of unequal starting points,explicit,1
"the following documents invoice number or other information that allows the payment to be associated with the concept , amount and date",explicit,1
the ethical ai principles discussed above,explicit,1
the federal government,explicit,1
"the following enhanced concerns , separate and apart from potential violation of applicable privacy laws : ● ai - enhanced products",explicit,1
the federal strategy,explicit,1
the equivalent document,explicit,1
the final result,explicit,1
the following expenses article 18,explicit,1
the female presence,explicit,1
the events,explicit,1
the final version of the op rde,explicit,1
the eoi coworking spaces network,explicit,1
the final version,explicit,1
the environment passport,explicit,1
"the existing mechanism for a gradual composition of the rental guarantee , as organised by the housing fund",explicit,1
the following initiatives ÿ 62 ÿ ÿ approximate probability of occurrence for each attribute value or each case ÿ amount of training data set and,explicit,1
the financing of certain initiatives,explicit,1
the examples in the guidelines,explicit,1
the financial support measures and,explicit,1
the fight against illegal evictions,explicit,1
the environment in which the next generations will be educated,explicit,1
the entity in the productive sector,explicit,1
the evaluation in relation to the procedure and,explicit,1
the expert knowledge of ict specialists at a given time point ( on concluding their training ),explicit,1
the financing of the management of digital infrastructure in schools,explicit,1
the evaluation for the final year of the action plan,explicit,1
"the expiry of the maximum period of six months for issuing and notifying the resolution of the procedure , as defined by article 25 of law 38/2003 , of november 17 , without a resolution having been issued and published",explicit,1
the evaluation committee,explicit,1
the experience of the university or research center(s ) and the team that will comprise,explicit,1
the european universities initia- tive,explicit,1
the european union ( eu ),explicit,1
the european student card initiative,explicit,1
the european programme for promoting quality innovative learning and teaching through new technologies and digital content opening up education,explicit,1
the first,explicit,1
the financial leasing of assets of this nature corresponding to the financeable period of the project,explicit,1
the evaluation of the criteria corresponds to the evaluation committee described in article 24 of this order of bases and,explicit,1
the first deputy chairman of the policy council,explicit,1
the experience of the team that will form part of the chair,explicit,1
the following data,explicit,1
the financing of the aid granted,explicit,1
the european commission ’s digital europe programme 29,explicit,1
the following challenges,explicit,1
the financial balance of the brussels local authorities,explicit,1
the factors mentioned above,explicit,1
the extract,explicit,1
the first digital education action plan,explicit,1
the financial justification,explicit,1
the european digital strategy,explicit,1
the european high - performance computing joint undertaking ( eurohpc ju ),explicit,1
the following areas,explicit,1
the extension of the structuring lines 7 ( towards forest ) and 8 ( towards evere and the sonian forest ),explicit,1
the european parliament and the council of the european union,explicit,1
the extended producer responsibility ( epr ) systems,explicit,1
the first phase,explicit,1
the external safety mechanism,explicit,1
"the investing in skills programme , co - financed through the european social fund ( esf )",explicit,1
the investment,explicit,1
the invoice and/or receipt for expenses and,explicit,1
the involvement of the private sector,explicit,1
the items for quality in use and external quality,explicit,1
the judgment criteria,explicit,1
the jury,explicit,1
"the guarantees the action plans submitted with the application ,",explicit,1
the kanal foundation and the various brussels public services,explicit,1
the large amount of data they make available to companies,explicit,1
the latter,explicit,1
the letter of intent for training devices,explicit,1
the level of achievement of,explicit,1
the level of internal quality of the machine learning element,explicit,1
the level of requirements for machine learning elements,explicit,1
the level of safety functionality required of machine learning elements,explicit,1
the justification for the aid,explicit,1
"the information visible , maintenance",explicit,1
the initial project,explicit,1
the initial tests,explicit,1
the initiation of the concession procedure,explicit,1
the initiative “ digital skills training programmes for workers in employment ”,explicit,1
the inspectorate,explicit,1
the instruments to achieve,explicit,1
the introduction of such a charge,explicit,1
the integration of digital skills into school curricula from the earliest stages,explicit,1
the integration of the platform,explicit,1
the intention of the strategy,explicit,1
the interested party,explicit,1
the internships,explicit,1
the interruption of presential reaching,explicit,1
the introduction of a 30 km / h zone,explicit,1
the introduction of a fourth entity in the internship -related processes,explicit,1
the integrated neighbourhood - oriented care and assistance model,explicit,1
the maximum aid intensities,explicit,1
the maximum amount of aid,explicit,1
the maximum period for resolution and notification of the modification,explicit,1
the mcast ai strategy and action plan,explicit,1
the mdia ’s ai certification process,explicit,1
the measures described below,explicit,1
the measures proposed in this plan,explicit,1
the licensing agreement,explicit,1
the meeting of the nstda executive committee,explicit,1
the members of the committee,explicit,1
the members of the evaluation committee,explicit,1
the method,explicit,1
the minister - president,explicit,1
the ministries concerned,explicit,1
the ministry of digital transformation and the ministry of education and science of ukraine together with the working group on the development of instructional and methodological recommendations for the introduction and use of artificial intelligence technologies in general secondary education institutions,explicit,1
"the ministry of economic affairs and digital transformation , the ministry of industry , commerce and tourism and ,",explicit,1
the meeting,explicit,1
the limitation period,explicit,1
"the link between the said databases and the announcement of criteria , methods and conditions higher education and science , research and innovation databases , as well as integration and section 11 policies , strategies and plans according to ( 1 ) ( 4",explicit,1
"the links between the academic institutions , the students and the business organizations",explicit,1
the listening session audience members,explicit,1
the long - term strategy,explicit,1
the machine learning elements,explicit,1
the machine learning model,explicit,1
the machine learning training stage and prediction and inference programs used during execution,explicit,1
the manifesto for the improvement of the digital competences of spanish citizens,explicit,1
the maintenance staff,explicit,1
the majority partners,explicit,1
the malta digital innovation authority ( mdia ),explicit,1
the malta ethical ai framework,explicit,1
the maltese language resources and tools,explicit,1
the maltese telecoms regulator,explicit,1
the management framework,explicit,1
the management of the incubator platform,explicit,1
the main objective of the concept,explicit,1
the goal of the strategy,explicit,1
the goal of this consortium,explicit,1
the government 's objective,explicit,1
"the government , aware of the difficulties that companies face in filling certain positions",explicit,1
"the government , in consultation with the economic and social council",explicit,1
"the government , in consultation with the sector and the competent entities",explicit,1
"the government , in consultation with the stakeholders concerned",explicit,1
the information provided,explicit,1
the government and the private sector,explicit,1
the government ’s aim,explicit,1
the grading criteria provided for in article 33 of the order of bases that support the call for these aid,explicit,1
the granting of these subsidies,explicit,1
the grants,explicit,1
the green certificate system,explicit,1
the green economy,explicit,1
the groundwork,explicit,1
"the government , under the leadership of hub.brussels",explicit,1
the following objectives service,explicit,1
the following points,explicit,1
the form of this support,explicit,1
the forms for application of artificial intelligence in education,explicit,1
the formula for calculating the hourly cost for each employee participating in the project,explicit,1
the formula of alternating learning and working,explicit,1
